City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,76.84,light rain,-23.1203,-134.9692,Pension Maro'i
9,Souillac,MU,77,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Bambous Virieux,MU,82.99,light rain,-20.3428,57.7575,Casa Tia Villa
19,Amapa,BR,71.49,overcast clouds,1,-52,
21,Port Alfred,ZA,77.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
23,Bhola,BD,89.8,few clouds,22.6833,90.65,Student Hostel (Shahbaz Khan Hostel)
25,Kavieng,PG,83.07,broken clouds,-2.5744,150.7967,Nusa Island Retreat
27,Angra Dos Reis,BR,73.4,overcast clouds,-23.0067,-44.3181,Mercure Angra dos Reis
30,Hermanus,ZA,75.99,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
31,Georgetown,MY,87.8,few clouds,5.4112,100.3354,Cititel Penang
32,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
37,Matara,LK,85.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
39,Eyl,SO,88.05,few clouds,7.9803,49.8164,Amiin Hotel
41,Fonte Boa,BR,70.86,overcast clouds,-2.4959,-66.2662,
43,San Policarpo,PH,81.09,overcast clouds,12.1791,125.5072,JM Lodge
46,Hasanabad,IR,89.6,clear sky,36.5465,61.0543,
51,Cape Town,ZA,77,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Hilo,US,73.4,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
55,Sabang,ID,84.06,broken clouds,5.8933,95.3214,Hotel Citra
58,Trenggalek,ID,75.07,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
60,Puerto Ayora,EC,75,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Faanui,PF,82.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Harper,LR,84.97,light rain,4.375,-7.7169,Screensaver
77,Contai,IN,84.81,clear sky,21.7786,87.7536,PATHFINDER
80,Saldanha,ZA,71.6,few clouds,-33.0117,17.9442,Blue Bay Lodge
84,Dingle,PH,80.94,light rain,10.9995,122.6711,SEGAYA PROPERTY
85,Bathsheba,BB,75.2,broken clouds,13.2167,-59.5167,Atlantis Hotel
87,Lorengau,PG,82.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Puerto Colombia,CO,77,fog,10.9878,-74.9547,Hotel El Emigrante
90,East London,ZA,77,clear sky,-33.0153,27.9116,Tu Casa
94,Atuona,PF,80.55,few clouds,-9.8,-139.0333,Villa Enata
95,Bull Savanna,JM,70.7,broken clouds,17.8868,-77.5902,Big Red's
101,Carnarvon,AU,77,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
102,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
105,Tiarei,PF,77,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
107,Butaritari,KI,81.32,moderate rain,3.0707,172.7902,Isles Sunset Lodge
112,Isangel,VU,78.49,broken clouds,-19.55,169.2667,Tanna Lodge
118,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
119,Presidencia Roque Saenz Pena,AR,71.01,scattered clouds,-26.7852,-60.4388,Hotel Gualok
123,Nicoya,CR,76.96,overcast clouds,10.1483,-85.452,Guayacan Real
124,Cidreira,BR,70.57,scattered clouds,-30.1811,-50.2056,Hotel Castelo
127,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
128,Grand Gaube,MU,82.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
132,Ankazoabo,MG,89.83,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
138,Kununurra,AU,78.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
