City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-21 07:22:53,-23.1203,-134.9692,76.57,76,22,4.94
1,Atuona,PF,2021-04-21 07:24:48,-9.8,-139.0333,80.71,75,47,21.99
2,Pevek,RU,2021-04-21 07:24:48,69.7008,170.3133,29.66,71,0,19.26
3,Lorengau,PG,2021-04-21 07:24:49,-2.0226,147.2712,83.05,80,100,10.45
4,Tongling,CN,2021-04-21 07:24:49,30.95,117.7833,72.36,63,100,3.94
5,Nioro,GM,2021-04-21 07:24:50,13.35,-15.75,73.45,43,67,6.31
6,Khatanga,RU,2021-04-21 07:24:50,71.9667,102.5,12.06,84,100,8.03
7,Jamestown,US,2021-04-21 07:24:50,42.097,-79.2353,33.01,93,90,8.05
8,Albany,US,2021-04-21 07:24:51,42.6001,-73.9662,42.01,74,100,3.31
9,San Cristobal,VE,2021-04-21 07:24:51,7.7669,-72.225,67.26,72,100,1.54
10,Muros,ES,2021-04-21 07:24:52,42.7762,-9.0603,48.99,96,100,4.72
11,Punta Arenas,CL,2021-04-21 07:24:27,-53.15,-70.9167,33.8,80,40,6.91
12,Ambulu,ID,2021-04-21 07:24:52,-8.345,113.6058,85.12,62,50,9.31
13,Esperance,AU,2021-04-21 07:24:53,-33.8667,121.9,68.0,52,0,12.66
14,Ostrovnoy,RU,2021-04-21 07:24:53,68.0531,39.5131,37.96,81,4,16.33
15,Bredasdorp,ZA,2021-04-21 07:24:54,-34.5322,20.0403,59.0,94,100,1.14
16,San Patricio,US,2021-04-21 07:24:54,28.017,-97.5169,66.2,59,75,9.22
17,Kaeo,NZ,2021-04-21 07:24:55,-35.1,173.7833,63.0,87,18,3.0
18,East London,ZA,2021-04-21 07:22:03,-33.0153,27.9116,66.2,77,0,3.44
19,Bluff,NZ,2021-04-21 07:24:55,-46.6,168.3333,48.0,95,100,4.0
20,Hofn,IS,2021-04-21 07:24:56,64.2539,-15.2082,39.18,49,100,3.62
21,Komsomolskiy,UZ,2021-04-21 07:24:56,40.4272,71.7189,64.4,42,75,16.11
22,Ushuaia,AR,2021-04-21 07:21:27,-54.8,-68.3,44.6,57,20,3.44
23,Obo,CF,2021-04-21 07:24:57,5.3998,26.4869,72.86,84,97,8.01
24,Mar Del Plata,AR,2021-04-21 07:24:57,-38.0023,-57.5575,66.99,88,40,5.75
25,Sao Paulo De Olivenca,BR,2021-04-21 07:24:57,-3.3783,-68.8725,69.82,99,75,1.23
